label,pred,error,kind,decoder_failure,guideline_undecodable,ambiguous_decode
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
1,1,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
0,1,True,FP,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
1,0,True,FN,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,0,True,FN,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,1,True,FP,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,True,True,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,0,True,FN,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,0,True,FN,False,False,False
0,0,False,correct,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,1,True,FP,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,1,True,FP,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,1,True,FP,True,False,False
1,1,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,0,True,FN,True,False,False
0,1,True,FP,True,False,False
1,1,False,correct,True,False,False
0,1,True,FP,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,1,True,FP,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
1,1,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
0,0,False,correct,False,True,False
1,0,True,FN,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,False
1,0,True,FN,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,True,False
0,0,False,correct,True,True,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,True,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,1,False,correct,False,False,False
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,1,True,FP,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,True,False
1,0,True,FN,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,1,True,FP,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,1,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,False
1,0,True,FN,True,True,False
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,1,True,FP,True,True,False
0,0,False,correct,False,True,True
1,0,True,FN,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
1,1,False,correct,True,True,False
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,False,False,False
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
1,0,True,FN,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,False,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
1,1,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,1,True,FP,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
1,1,False,correct,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
1,1,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
1,1,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,True,False
0,0,False,correct,False,True,True
0,1,True,FP,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,1,True,FP,True,False,False
0,1,True,FP,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
1,0,True,FN,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
1,1,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,False,False,False
1,1,False,correct,True,True,False
0,0,False,correct,False,False,True
1,1,False,correct,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,False
1,1,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,False
1,1,False,correct,True,False,False
0,0,False,correct,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,True
0,0,False,correct,False,True,False
1,0,True,FN,True,False,False
0,0,False,correct,True,True,False
0,1,True,FP,True,False,False
0,0,False,correct,False,False,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,True,False
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,1,True,FP,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
1,0,True,FN,True,False,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,True
0,0,False,correct,True,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,True,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,True,True,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,True
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
1,1,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,True,False
0,0,False,correct,True,True,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
1,1,False,correct,True,False,False
0,0,False,correct,False,True,False
0,1,True,FP,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,True
1,0,True,FN,True,False,False
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,1,True,FP,True,False,False
1,1,False,correct,True,False,False
1,0,True,FN,True,True,False
0,0,False,correct,True,True,False
0,0,False,correct,False,True,True
0,0,False,correct,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
0,0,False,correct,False,False,False
0,0,False,correct,False,True,True
1,1,False,correct,True,False,False
1,0,True,FN,True,False,False
1,1,False,correct,True,True,False
1,0,True,FN,True,False,False
0,0,False,correct,False,False,False
0,0,False,correct,False,False,True
